titulo,autor(es),editora,descrição
O Substituto,Brenna Yovanoff,,"Mackie não é um de nós. Ele vive na pequena cidade de Gentry, mas vem de um mundo de túneis e águas escuras e lamacentas, um mundo de garotas-cadáver governado por uma pequena princesa tatuada. Ele é um Substituto — deixado no berço de um bebê humano há dezesseis anos. Agora, devido a uma alergia fatal a ferro, sangue e solo consagrado, Mackie está morrendo aos poucos no mundo dos homens. Mackie daria qualquer coisa para viver entre nós. Tudo o que ele deseja é tocar baixo e descobrir mais sobre uma garota estranhamente fascinante chamada Tate. Mas quando a irmãzinha de Tate desaparece, Mackie é irreversivelmente arrastado para o submundo de Gentry, conhecido como Caos.
"
Ordem de Extermínio,James Dashner,,"Antes de o CRUEL existir, antes que houvesse o Labirinto e muito antes que Thomas ingressasse na Clareira, as chamas solares assolaram a Terra e destruíram o mundo que a humanidade considerava salvo... Mark e Trina estavam lá quando tudo aconteceu, e sobreviveram. Mas sobreviver às chamas foi fácil se comparado ao que viria depois. Agora, um vírus que toma conta da mente com violência e dor se espalha por todo lugar e existe algo muito suspeito sobre sua origem. 
Pior ainda: ele está em mutação e as evidências sugerem que a humanidade se ajoelhará diante do caos, prevendo uma morte inevitável e assustadora. Mark e Trina estão convencidos de que existe uma maneira de salvar os poucos que restaram. E estão certos de que podem encontrá-los. Porque neste novo e devastado mundo, cada vida tem um preço. 
A sua também. E para alguns, você vale muito mais morto do que vivo. Ordem de Extermínio é a origem da trilogia Maze Runner, best-seller do New York Times, sucesso internacional em vários idiomas. Aqui encontraremos a história da destruição do mundo e da civilização, e de como o Fulgor fez com que alguns planejassem soluções drásticas e cruéis para a sobrevivência dos seres humanos... e do planeta à beira do caos e da extinção. 
"
Prova de Fogo,James Dashner,,"O Labirinto foi só o começo... o pior está por vir. Depois de superarem os perigos mortais do Labirinto, Thomas e seus amigos acreditam que estão a salvo em uma nova realidade. Mas a aparente tranquilidade é interrompida quando são acordados no meio da noite por gritos lancinantes de criaturas disformes – os Cranks – que ameaçam devorá-los vivos. Atordoados, os Clareanos descobrem que a salvação aparente na verdade pode ser outra armadilha, ainda pior que a Clareira e o Labirinto. E que as coisas não são o que aparentam. Para sobreviver nesse mundo hostil, eles terão de fazer uma travessia repleta de provas cruéis em um meio ambiente devastado, sem água, comida ou abrigo.


Calor causticante durante o dia, rajadas de vento gélido à noite, desolação e um ar irrespirável – no Deserto do novo mundo até mesmo a chuva é a promessa de uma morte agonizante. Eles, porém, não estão sozinhos – cada passo é espreitado por criaturas famintas e violentas, que atacam sem avisar.


Manipulação, mentiras e traições cercam o caminho dos Clareanos, mas para Thomas a pior prova será ter de escolher em quem acreditar.
"
Sob a Redoma,Stephen King,,"""SOB A REDOMA SE MOVE COM TANTA RAPIDEZ E PRENDE O LEITOR TÃO ABSOLUTAMENTE QUE O DEIXA QUASE PARALISADO."" - USA TODAY Em um dia como outro qualquer em Chesters Mill, no Maine. Subitamente a cidade é isolada do resto do mundo por um campo de força invisível. Aviões explodem quando tentam atravessá-lo e pessoas trabalhando em cidades vizinhas são separadas de suas famílias. Ninguém consegue entender o que é esta barreira, de onde ela veio e quando ou se ela irá desaparecer.
 

Dale Barbara, veterano da guerra do Iraque, se une a um grupo de moradores da cidade para manter a situação sob controle. A força de oposição é representada por Big Jim Rennie, um político que está disposto a tudo - até matar - para continuar no poder, e seu filho, que guarda a sete chaves um horrível segredo. 
 

Mas essa não é a única preocupação dos habitantes. O isolamento expõe os medos e as ambições de cada um, até os sentimentos mais reprimidos. Assim, enquanto correm contra o pouco tempo que têm para descobrir a origem da redoma e uma forma de desfazê-la, ainda terão de combater a crueldade humana em sua forma mais primitiva. 
 

Sob a redoma é um thriller arrebatador e uma inquietante reflexão sobre nossa própria potencialidade para o bem e o mal.
"
Um Sonho de Três Noites,Tiago Cabral,,"Neste conto um autor se torna um personagem: H.P. Lovecraft, um dos mais famosos autores de Pulp Fiction, responsável por obras como ""O Chamado de Cthulhu"" e ""Nas Montanhas da Loucura"", é apenas um escritor decadente que mora em um apertado quarto em Red Hook, bairro de Nova York conhecido pela proximidade de fétidos portos e por ser um dos domínios de Al Capone na década de 20. 
 

Em meio à pobreza, descobertas científicas e pesadelos que o atordoam toda noite, mal sabe ele que este conjunto de influências iria culminar na maior de suas criaçoes: o morto que dorme, Cthulhu.
"
A Cura Mortal,James Dashner,,"Por trás de uma possibilidade de cura para o Fulgor, Thomas irá descobrir um plano maior, elaborado pelo CRUEL, que poderá trazer consequências desastrosas para a humanidade. Ele decide, então, entregar-se ao Experimento final. A organização garante que não há mais nada para esconder. Mas será possível acreditar no CRUEL? Talvez a verdade seja ainda mais terrível... uma solução mortal, sem retorno.
"
Corrente Sanguínea,Tess Gerritsen,,"Claire Elliot, uma médica de renome em Baltimore, acabou de perder o marido, e sente que o filho adolescente está assustado e traumatizado pela morte do pai. Para afastá-lo das más companhias e da violência, Claire escolhe uma pequena cidade como refúgio: Tranquility, às margens do lago Locust. Tudo parece bem até que os primeiros sinais do inverno surgem, e com eles, uma tragédia: um jovem, um de seus primeiros pacientes em Tranquility, é dominado pelo ódio e tenta assassinar a família inteira. A cidade tenta pôr a culpa do repentino ato violento no tratamento administrado pela médica recém-chegada, mas Claire desconfia de que haja algo suspeito por trás desse acontecimento sinistro. Seus pressentimentos são confirmados quando surgem outros casos de violência, e suas incansáveis pesquisas mostram que não é a primeira vez que tais surtos acontecem no local: adolescentes ferindo seus pais, irmãos e amigos... Uma vez a cada 50 anos, a cidade é tomada por ondas de crimes assustadores. Embora os rumores apontem atividades macabras e bruxaria como possíveis causas desse fenômeno, Claire começa a suspeitar de que a violência seja fruto de uma epidemia, transmitida por uma substância não identificada, passando de criança a criança, infectando seus cérebros e deixando-as fora de controle. Claire precisará pesquisar a fundo a causa dos ataques, com a ajuda do chefe de polícia, de uma arqueóloga interessada nos antigos casos de violência na cidade e da única moradora que não tem medo de falar sobre o passado trágico de Tranquility. Mas, quando menos espera, ela se depara com uma ameaça ainda pior. O tempo está contra a médica: não só toda a cidade pode estar em perigo, como seu filho parece cada vez mais distante e inquieto...
"
Correr ou Morrer,James Dashner,,"Ao acordar dentro de um escuro elevador em movimento, a única coisa que Thomas consegue lembrar é de seu nome. Sua memória está completamente apagada. Mas ele não está sozinho.
 

Quando a caixa metálica chega a seu destino e as portas se abrem, Thomas se vê rodeado por garotos que o acolhem e o apresentam à Clareira, um espaço aberto cercado por muros gigantescos. Assim como Thomas, nenhum deles sabe como foi parar ali, nem por quê. Sabem apenas que todas as manhãs as portas de pedra do Labirinto que os cerca se abrem, e, à noite, se fecham. E que a cada trinta dias um novo garoto é entregue pelo elevador. Porém, um fato altera de forma radical a rotina do lugar - chega uma garota, a primeira enviada à Clareira. E mais surpreendente ainda é a mensagem que ela traz consigo.
 

Thomas será mais importante do que imagina, mas para isso terá de descobrir os sombrios segredos guardados em sua mente e correr, correr muito. 
"
O Terror,Arthur Machen,,"O romance O Terror, escolhido para apresentar o autor, foi publicado em 1917; ambientado numa região afastada do oeste de Gales durante a Primeira Guerra Mundial, consegue uma perfeita simbiose de fantasia e realidade, lenda e cotidianeidade. Acontecimentos inexplicáveis de terrível violência, o poder contagioso das forças obscuras do mal e um clima de alarmismo bélico se fundem numa obscura e enigmática trama, suscetível das mais diversas conjecturas e interpretações. Ornamentos em Jade, O Grande Deus Pã e Chancela Negra encerram o volume, é um conjunto surpreendente de narrativas praticamente desconhecidas do leitor inglês contemporâneo. Editadas em 1927, nunca foram reimpressas, dado curioso para quem as ler, agora, em português."
O Rei de Amarelo,Richard W. Chambers,,"Obra-prima de** **Robert W. Chambers, *O Rei de Amarelo *é uma coletânea de dez contos de literatura gótica publicada originalmente em 1895 e considerada um marco do gênero. Influenciou diversas gerações de escritores, de H. P. Lovecraft a Neil Gaiman, Stephen King e, mais recentemente, o escritor, produtor e roteirista Nic Pizzolatto, criador da série investigativa *True Detective*, exibida pela HBO, cujo mistério central faz referência ao obscuro Rei de Amarelo.
O título faz alusão a um livro dentro do livro — mais precisamente, a uma peça teatral fictícia — e a seu personagem central, uma figura sobrenatural cuja existência extrapola as páginas. A peça *O Rei de Amarelo* é mencionada em quatro dos contos, mas pouco se conhece de seu conteúdo. É certo apenas que o texto, em dois atos, leva o leitor à loucura, condenando sua alma à perdição. Um risco a que alguns aceitam se submeter, dado o caráter único da obra, um misto irresistível de beleza e decadência.
"
